序号,彝文,中文,英文
2710,󳆥,（家具、物品）,"（家具, object, thing品）"
2711,󳆦,（倒霉）,（倒霉）
2712,󳆧,空间垂直的下面,"space垂直的descend, go downface, surface"
2713,󳆨,串（动词、量词）,"串 (动词, 量词)"
2714,󳆩,（布谷鸟）叫,(布谷鸟) 叫
2715,󳆪,孩（子）,孩 (子)
2716,󳆫,1、摘；2、扯；,1. 摘; 2. 扯; 
2717,󳆬,消瘦,消瘦
2718,󳆭,哭,哭
2719,󳆮,1、（酸木瓜）；2、（胡琴）；,1. (酸wood瓜) ; 2. (胡琴) ; 
2720,󳆯,1、他们（引述语）；2、（俄卓，西昌的彝语名称）；,"1. they, them(引述语) ; 2. (俄卓, 西昌的彝语名称) ; "
2721,󳆰,1、傻；2、鲁莽；,1. 傻; 2. 鲁莽; 
2722,󳆱,1、蛆虫；2、生（蛆虫）；,1. 蛆虫; 2. 生(蛆虫) ; 
2723,󳆲,隐瞒,隐瞒
2724,󳆳,（头部某些突出的位置）,（头部某些突出的位置）
2725,󳆴,1、绞；2、（电缆）；,1. 绞; 2. (电缆) ; 
2726,󳆵,刮风,刮风
2727,󳆶,吵（架）,吵 (架)
2728,󳆷,（祖父、爷爷）,"（祖父, 爷爷）"
2729,󳆸,1、口（量词）；2、（腮帮子）；,1. 口(量词) ; 2. (腮帮子) ; 
2730,󳆹,1、光明‘、光亮、明亮；2、（月亮）；,"1. light明‘, light亮, 明亮; 2. (月亮) ; "
2731,󳆺,溢、漫,"溢, 漫"
2732,󳆻,分（量词，钱币的量词）,"分 (量词, 钱币的量词)"
2733,󳆼,福,福
2734,󳆽,模仿,模仿
2735,󳆾,1、（果子）初结；2、（开始）牵藤；,"1. (果子) 初结; 2. (drive, operate始) 牵藤; "
2736,󳆿,（花生）,（花生）
2737,󳇀,优惠,优惠
2738,󳇁,撮（灰）,"撮 (ash, gray)"
2739,󳇂,（老鼠、耗子）,"（老鼠, 耗子）"
2740,󳇃,想、思考、思索,"想, 思考, 思索"
2741,󳇄,有益,有益
2742,󳇅,（坟墓）,（坟墓）
2743,󳇆,寡（鸡蛋）,寡 (鸡蛋)
2744,󳇇,唤（牲畜）,唤 (livestock)
2745,󳇈,过分,过分
2746,󳇉,侍从（古语）,侍从 (ancient saying)
2747,󳇊,叽叽喳喳（叫声）,叽叽喳喳 (叫声)
2748,󳇋,砚（台）,砚 (台)
2749,󳇌,觉（量词）,觉 (量词)
2750,󳇍,赡养、供养、抚养,"赡养, 供养, 抚养"
2751,󳇎,行、走,"行, 走"
2752,󳇏,1、国；2、（天）空；,"1. 国; 2. (sky, heaven) 空; "
2753,󳇐,鱼,鱼
2754,󳇑,（象声词）,（onomatopoeia）
2755,󳇒,饿,饿
2756,󳇓,（薄荷）,（薄荷）
2757,󳇔,1、锣；2、（人熊）；,"1. 锣; 2. (person, people熊) ; "
2758,󳇕,（木板的）节巴眼,(wood板的) 节巴eye
2759,󳇖,带（东西）,带 (东西)
2760,󳇗,（牛）斗架,"(cow, ox) 斗架"
2761,󳇘,1、（十字镐）；2、（达体舞）；,1. (ten字镐) ; 2. (达体舞) ; 
2762,󳇙,1、炉（名词）；2、炉（量词）；,1. 炉(名词) ; 2. 炉(量词) ; 
2763,󳇚,（猪）拱,(猪) 拱
2764,󳇛,眼、孔,"eye, 孔"
2765,󳇜,髓,髓
2766,󳇝,晒（太阳）,"dry in sun, expose (太阳)"
2767,󳇞,传（种）,传 (种)
2768,󳇟,满（使动）,满 (使动)
2769,󳇠,车,车
2770,󳇡,1、查；2、察；,1. 查; 2. 察; 
2771,󳇢,（象声词）（跑步脚踏声音）,(onomatopoeia)  (跑步脚踏声音)
2772,󳇣,（阴茎）,（阴茎）
2773,󳇤,视（视察、观察、查看、参观、浏览）,"视 (视察, 观察, 查看, 参观, 浏览)"
2774,󳇥,（1、撒遍；2、普及；）,（1. 撒遍; 2. 普及; ）
2775,󳇦,（1、茨菇；2、山药；）,（1. 茨菇; 2. 山药; ）
2776,󳇧,浊气,浊气
2777,󳇨,（往嘴里）灌,(往嘴里) 灌
2778,󳇩,（山楂）,（山楂）
2779,󳇪,（部分竹制用具）、簸（箕）,"(部分竹制用具) , 簸 (箕)"
2780,󳇫,（呃，语气词）,"（呃, 语气词）"
2781,󳇬,闭（眼）,闭 (eye)
2782,󳇭,捏,捏
2783,󳇮,（1、懒惰；2、困倦；）,（1. 懒惰; 2. 困倦; ）
2784,󳇯,（往孔里）捅,(往孔里) 捅
2785,󳇰,（稍微）,（稍微）
2786,󳇱,（腐）朽,(腐) 朽
2787,󳇲,（小步地）走,"(小步place, location) 走"
2788,󳇳,摔跤,摔跤
2789,󳇴,砸,砸
2790,󳇵,（风）流、风骚,"(风) flow, stream, 风骚"
2791,󳇶,细,细
2792,󳇷,流、淌（泪）,"flow, stream, 淌 (泪)"
2793,󳇸,瓶、壶,"瓶, 壶"
2794,󳇹,1、水；2、汤；3、河流；,"1. 水; 2. 汤; 3, 河flow, stream; "
2795,󳇺,骑（使动）,骑 (使动)
2796,󳇻,漏（雨）,漏 (雨)
2797,󳇼,1、渴；2、（水烧）干；,1. 渴; 2. (水烧) dry; 
2798,󳇽,紧挨着,紧挨着
2799,󳇾,（礼里，彝族家支名）,"（礼里, 彝族家支名）"
2800,󳇿,烫,烫
2801,󳈀,边、面（方位词）,"edge, side, face, surface (square, direction位词)"
2802,󳈁,又,又
2803,󳈂,（全部）,（全部）
2804,󳈃,1、流传；2、（讥笑）；,"1. flow, stream传; 2. (讥笑) ; "
2805,󳈄,（越、愈）,"（越, 愈）"
2806,󳈅,（姊妹、妹妹、姐妹）,"（姊妹, 妹妹, 姐妹）"
2807,󳈆,蚌,蚌
2808,󳈇,（咂酒）,"（咂wine, alcohol）"
2809,󳈈,桩、件（峨山彝语）,"桩, 件 (峨山彝语)"
2810,󳈉,潮（水）,潮 (水)
2811,󳈊,（螃蟹）,（螃蟹）
2812,󳈋,（衣服、毡子）,"（衣服, 毡子）"
2813,󳈌,（用牛羊角做的）号角,"(用cow, ox羊角做的) 号角"
2814,󳈍,涩,涩
2815,󳈎,1、气；2、清气；,1. 气; 2. 清气; 
2816,󳈏,锈,锈
2817,󳈐,（女子对家庭中兄和弟的总称）,（女子对家庭中elder brother和弟的总称）
2818,󳈑,的（东西）,的 (东西)
2819,󳈒,芹（（野生）水芹菜）,芹( (野生) 水芹菜)
2820,󳈓,（语气词（走路笨拙不灵便的样子））,(语气词 (走路笨拙不灵便的样子) )
2821,󳈔,荡漾,荡漾
2822,󳈕,（让别人知道），使听，使看；,"(让别person, people知道) , 使听, 使看; "
2823,󳈖,变（变成、变掉）,"变 (变成, 变掉)"
2824,󳈗,（象声词（连珠炮式的（快快的）说话））,(onomatopoeia (连珠炮式的（快快的) 说话)）
2825,󳈘,1、煮；2、（米粥、稀饭）；,"1. 煮; 2. (米粥, 稀饭) ; "
2826,󳈙,1、血缘；2、种（马种）；,1. 血缘; 2. 种(horse种) ; 
2827,󳈚,（蔬）菜,(蔬) 菜
2828,󳈛,1、摩（擦）；2、磨（牙齿）；,1. 摩(擦) ; 2. 磨(牙齿) ; 
2829,󳈜,（巴豆）,（巴豆）
2830,󳈝,（液体）漏,(液体) 漏
2831,󳈞,芽,芽
2832,󳈟,藕、莲,"藕, 莲"
2833,󳈠,（根源）,（根源）
2834,󳈡,1、响；2、（（1）反响；（2）、报复、报仇、报应；（3）纠缠；）,"1. 响; 2. ( (1) 反响; (2) , 报复, 报仇, 报应; (3) 纠缠; )"
2835,󳈢,染（布）,染 (布)
2836,󳈣,（浪费）,（浪费）
2837,󳈤,（贪污）,（贪污）
2838,󳈥,（（1）涌泉；（2）洪水；（3）瀑布）,( (1) 涌泉; (2) 洪水; (3) 瀑布)
2839,󳈦,葛（根）,葛 (根)
2840,󳈧,浸、泡,"浸, 泡"
2841,󳈨,（油）腻,(油) 腻
2842,󳈩,1、商量、商议；2、（伴侣、夫妻）；,"1. 商量, discuss, negotiate; 2. (accompany侣, 夫妻) ; "
2843,󳈪,田,田
2844,󳈫,浑浊,浑浊
2845,󳈬,（葱籽）,（葱籽）
2846,󳈭,棍、棒,"棍, 棒"
2847,󳈮,根据、依据、理由,"根据, 依据, 理由"
2848,󳈯,潮湿、滋润,"潮湿, 滋润"
2849,󳈰,（词缀）（红彤彤）,(词缀)  (红彤彤)
2850,󳈱,（断定）,（断定）
2851,󳈲,（水）溅,(水) 溅
2852,󳈳,泥泞（ning）,泥泞 (ning)
2853,󳈴,露（水）,露 (水)
2854,󳈵,（打一）顿,(打one) 顿
2855,󳈶,流,"flow, stream"
2856,󳈷,（象声词）（放声大笑）,"(onomatopoeia)  (放声big, large笑)"
2857,󳈸,浇（水）、洒（水）,"浇(水) , 洒 (水)"
2858,󳈹,带（路）,带 (路)
2859,󳈺,1、丛、蓬；2、（喳蓬蓬（形容树木枝叶繁茂））；,"1. cluster, grove, 蓬; 2. (喳蓬蓬 (形容树wood枝叶繁茂) ); "
2860,󳈻,（鸡蛋、卵）,"（鸡蛋, 卵）"
2861,󳈼,捂（食物）,"捂 (食object, thing)"
2862,󳈽,油,油
2863,󳈾,内弟（妻弟）,内弟 (妻弟)
2864,󳈿,（熟）油,"(cooked, ripe) 油"
2865,󳉀,（寿）龄,(寿) 龄
2866,󳉁,很,很
2867,󳉂,乱（世道乱，指起义，造反、匪患等）,"乱 (世道乱, point, indicaterise, get up义, 造反, bandit患等)"
2868,󳉃,（荨麻）,"（荨hemp, numb）"
2869,󳉄,1、（野）鸭；2、（鸳鸯）；,1. (野) 鸭; 2. (鸳鸯) ; 
2870,󳉅,1、（水）流；2、流（眼泪）；,"1. (水) flow, stream; 2. flow, stream(eye泪) ; "
2871,󳉆,漂浮,漂浮
2872,󳉇,游（泳）,游 (泳)
2873,󳉈,麻（线、布）,"hemp, numb (thread, line, 布)"
2874,󳉉,（（1）沸腾；（2）波浪；）,( (1) 沸腾; (2) 波浪; )
2875,󳉊,1、倒（水）；2、斟（酒）；,"1. 倒(水) ; 2. 斟(wine, alcohol) ; "
2876,󳉋,1、涉（水）；2、（津梁，天地津梁断（见《西南彝志》））；,"1. 涉(水) ; 2. (津梁, sky, heavenplace, location津梁断 (见《西南彝志》) ); "
2877,󳉌,（茨菇）,（茨菇）
2878,󳉍,1、（芝麻）；2、（柿子）；,"1. (芝hemp, numb) ; 2. (柿子) ; "
2879,󳉎,锈,锈
2880,󳉏,1、（猫）抓；2、刨；,1. (猫) 抓; 2. 刨; 
2881,󳉐,骟（山羊）；阉（鸡）,骟(山羊) ; 阉 (鸡)
2882,󳉑,1、（布壳）；2、粘（粘布壳）；,1. (布壳) ; 2. 粘(粘布壳) ; 
2883,󳉒,（议论）,（议论）
2884,󳉓,（现在）,（现在）
2885,󳉔,（恐惧）,（恐惧）
2886,󳉕,滤（水）,滤 (水)
2887,󳉖,潭（水井）,潭 (水井)
2888,󳉗,（把食物放在锅里略微煮一下就拿出来）,"（把食object, thing放在锅里略微煮onedescend, go down就拿出来）"
2889,󳉘,熊,熊
2890,󳉙,（水）淹没、浸泡,"(水) 淹没, 浸泡"
2891,󳉚,扒（拢）,扒 (拢)
2892,󳉛,尿,尿
2893,󳉜,血,血
2894,󳉝,慢,慢
2895,󳉞,1、坛（名、量词）；2、（深潭）；,"1. 坛(名, 量词) ; 2. (深潭) ; "
2896,󳉟,1、渣、豆渣；2、汤中的菜；3、干的（与稀相对）；,"1. dregs, residue, 豆dregs, residue; 2. 汤中的菜; 3, dry的(与稀相对) ; "
2897,󳉠,挑、担、扛,"挑, shoulder pole, 扛"
2898,󳉡,训练,训练
2899,󳉢,淬（火）,淬 (fire)
2900,󳉣,黏糊糊（食物腐烂后的状况）,"黏糊糊 (食object, thing腐烂后的状况)"
2901,󳉤,由、依,"由, 依"
2902,󳉥,花（色）,花 (color)
2903,󳉦,改、修改,"改, 修改"
2904,󳉧,摔,摔
2905,󳉨,那,那
2906,󳉩,稳,稳
2907,󳉪,清澈、清晰,"清澈, 清晰"
2908,󳉫,（牛）滚（水）,"(cow, ox) 滚 (水)"
2909,󳉬,折损、折耗,"折损, 折耗"
2910,󳉭,赎（回）,赎 (回)
2911,󳉮,（消瘦）,（消瘦）
2912,󳉯,（咽下）,"（咽descend, go down）"
2913,󳉰,彩虹,彩虹
2914,󳉱,1、（银杏；2、（苤（pie）蓝）；,1. (银杏; 2.  (苤（pie) 蓝); 
2915,󳉲,（小而尖的鼻子）,（小而尖的鼻子）
2916,󳉳,1、绳索；2、（柞桥（竹索桥））；,1. 绳索; 2. (柞桥 (竹索桥) ); 
2917,󳉴,破、坏,"破, 坏"
2918,󳉵,（一串串）,（one串串）
2919,󳉶,嘱咐,嘱咐
2920,󳉷,（口水）,（口水）
2921,󳉸,（毛驴）,"（hair, wool驴）"
2922,󳉹,（排行第七）,（排行第seven）
2923,󳉺,（水）溅,(水) 溅
2924,󳉻,1、落、掉；2、（柏雅妥洪，今四川古蔺，为古代彝族且兰地方政权所在地）；,"1. fall, drop, 掉; 2. (柏雅妥洪, 今four川古蔺, 为古代彝族且兰place, locationsquare, direction政权所在place, location) ; "
2925,󳉼,1、挖（洞）；2、开（口）；,"1. 挖(洞) ; 2. drive, operate(口) ; "
2926,󳉽,（虎）啸,(虎) 啸
2927,󳉾,1、横；2、歪、斜；,"1. 横; 2. 歪, oblique, slanted; "
2928,󳉿,台阶,台阶
2929,󳊀,（年）纪,(年) 纪
2930,󳊁,召集,召集
2931,󳊂,（土）壤,(土) 壤
2932,󳊃,（翁宅，彝族祭祀祖宗时建的灵房）,"（翁宅, 彝族祭祀祖宗时建的灵房）"
2933,󳊄,管、管理,"tube, pipe, tube, pipe理"
2934,󳊅,1、祖妣（bi）（女祖先）；2、（皮聂，彝族先民中最早出现的第二君王）；,"1. 祖妣(bi)  (女祖先); 2. (皮聂, 彝族先民中最早出现的第twolord, rulerking) ; "
2935,󳊆,1、乞求、乞讨；2、祈祷、祈求；,"1. 乞求, 乞讨; 2. 祈祷, 祈求; "
2936,󳊇,（外面）,"（外face, surface）"
2937,󳊈,（娃娃鸡）,（娃娃鸡）
2938,󳊉,（鳝鱼）,（鳝鱼）
2939,󳊊,贫瘠,贫瘠
2940,󳊋,（用风箱）杨,(用风箱) 杨
2941,󳊌,1、今；2、（词头）；,1. 今; 2. (词头) ; 
2942,󳊍,叠、折,"叠, 折"
2943,󳊎,1、叶子；2、片（量词）；,1. 叶子; 2. 片(量词) ; 
2944,󳊏,（天花）,"（sky, heaven花）"
2945,󳊐,边、面,"edge, side, face, surface"
2946,󳊑,（盖房用的（篾笆））,(盖房用的 (篾笆) )
2947,󳊒,合适,合适
2948,󳊓,（连接在一起）,"（connection在onerise, get up）"
2949,󳊔,吐（口水）,吐 (口水)
2950,󳊕,1、（人的）关系；2、（坝子伯尼、人名、古代一位著名的毕摩）；,"1. (person, people的) 关系; 2. (坝子伯尼, person, people名, 古代one位著名的毕摩) ; "
2951,󳊖,1、（老表）；2、（儿媳妇、外甥女）；,"1. (老表) ; 2. (儿媳妇, 外甥女) ; "
2952,󳊗,你的,你的
2953,󳊘,（脚）崴,(脚) 崴
2954,󳊙,踪迹,踪迹
2955,󳊚,（蚂蚱、蚱蜢）,"（蚂蚱, grasshopper）"
2956,󳊛,鸭子,鸭子
2957,󳊜,1、呢（亲近）；2、呢（语气助词）；,1. 呢(亲近) ; 2. 呢(modal particle) ; 
2958,󳊝,妈妈,妈妈
2959,󳊞,剩,剩
2960,󳊟,种类,种class
2961,󳊠,窝棚,窝棚
2962,󳊡,1、（相）依；2、（想念、挂念）；,"1. (相) 依; 2. (想念, 挂念) ; "
2963,󳊢,1、梦（名词）；2、做梦；3、（阿迷、古称阿迷州、即云南开远市）；,"1. 梦(名词) ; 2. 做梦; 3, (阿迷, 古称阿迷州, 即云南drive, operate远市) ; "
2964,󳊣,（1、婚配；2、（巴第赫吐，彝语贵州威宁草海）；）,"(1. 婚配; 2.  (巴第赫吐, 彝语贵州威宁grass海) ; )"
2965,󳊤,叠,叠
2966,󳊥,（恶心）呕吐,"(恶heart, mind) 呕吐"
2967,󳊦,蜻蜓,蜻蜓
2968,󳊧,鹤,鹤
2969,󳊨,进展快,进展快
2970,󳊩,（菠萝）,（菠萝）
2971,󳊪,1、捂（嘴）；2、掩（耳）；,1. 捂(嘴) ; 2. 掩(耳) ; 
2972,󳊫,干瘪（指植物果实）,"dry瘪 (point, indicate植object, thing果实)"
2973,󳊬,（臭虫）,（臭虫）
2974,󳊭,（哭丧棍（孝棍））,(哭丧棍 (孝棍) )
2975,󳊮,1、开创；2、开垦；,"1. drive, operate创; 2. drive, operate垦; "
2976,󳊯,1、晚熟（作物）；2、蔗（妻）、后（妻）；,"1. 晚cooked, ripe(作object, thing) ; 2. 蔗(妻) , 后(妻) ; "
2977,󳊰,（晃荡）,"（sway, rock）"
2978,󳊱,1、亲吻；2、（象声词、吻小孩发出的声音）；,"1. 亲吻; 2. (onomatopoeia, 吻小孩发出的声音) ; "
2979,󳊲,1、（花）瓣；2、瓣（量词）；,1. (花) 瓣; 2. 瓣(量词) ; 
2980,󳊳,猎,猎
2981,󳊴,（斜）砍、割,"(oblique, slanted) 砍, cut, reap"
2982,󳊵,1、副（量词）；2、张（量词）；,1. 副(量词) ; 2. 张(量词) ; 
2983,󳊶,1、族（人）；2、者（人）；,"1. 族(person, people) ; 2. 者(person, people) ; "
2984,󳊷,套（动词）,套 (动词)
2985,󳊸,（出殡）,（出殡）
2986,󳊹,底,底
2987,󳊺,（泥鳅）,（泥鳅）
2988,󳊻,（眼、脸、脉搏、肌肉等）颤动、跳动,"(eye, 脸, 脉搏, 肌肉等) 颤动, 跳动"
2989,󳊼,1、折（断）、掰（断）；2、（实楚、人名、彝族最早出现的毕摩）；,"1. 折(断) , 掰(断) ; 2. (实楚, person, people名, 彝族最早出现的毕摩) ; "
2990,󳊽,（眉毛）,"（眉hair, wool）"
2991,󳊾,（螃蟹）,（螃蟹）
2992,󳊿,（蟑螂）,（蟑螂）
2993,󳋀,送,送
2994,󳋁,（壁虎）,（壁虎）
2995,󳋂,（洱海）,（洱海）
2996,󳋃,（白面狐）,"（白face, surface狐）"
2997,󳋄,1、起始；2、（布、默，彝族六祖的第五、第六支系的名称）；,"1. rise, get up始; 2. (布, 默, 彝族six祖的第five, 第six支系的名称) ; "
2998,󳋅,（盖房用的（篾笆））,(盖房用的 (篾笆) )
2999,󳋆,（幽默、风趣、诙谐）,"（幽默, 风趣, 诙谐）"
3000,󳋇,1、衣服；2、穿（衣服）；,"1. 衣服; 2. pierce, penetrate(衣服) ; "
3001,󳋈,（娶妻）,（娶妻）
3002,󳋉,幅（量词）（一幅（丈）布）,幅(量词)  (one幅(丈) 布)
3003,󳋊,（沸水蒸汽）,（沸水蒸汽）
3004,󳋋,（古）今,(古) 今
3005,󳋌,叫,叫
3006,󳋍,1、小；2、（词尾）；,1. 小; 2. (词tail) ; 
3007,󳋎,和睦,harmonious
3008,󳋏,1、口（量词）；2、顶（量词）；3、把；,"1. 口(量词) ; 2. top, support(量词) ; 3, 把; "
3009,󳋐,（肩）膀,(肩) 膀
3010,󳋑,（毛发蓬松）,"（hair, wool发蓬松）"
3011,󳋒,兜,兜
3012,󳋓,补（载、种）,"补 (载, 种)"
3013,󳋔,捶,捶
3014,󳋕,滴（量词）,滴 (量词)
3015,󳋖,调换,调换
3016,󳋗,（重叠词缀）（圆溜溜）,"(overlapping词缀)  (圆slip, slideslip, slide)"
3017,󳋘,1、脱；2、卸；3、（说话伤人）；,"1. shed, fall off; 2. 卸; 3, (说话伤person, people) ; "
3018,󳋙,因（为）,因 (为)
3019,󳋚,（形容词缀）（青幽幽）,(形容词缀)  (青幽幽)
3020,󳋛,遍（地、野）,"遍 (place, location, 野)"
3021,󳋜,懒,懒
3022,󳋝,1、披；2、穿（衣）；,"1. 披; 2. pierce, penetrate(衣) ; "
3023,󳋞,寻找,寻找
3024,󳋟,（语气词）啊、吧,"(语气词) 啊, 吧"
3025,󳋠,张（口）,张 (口)
3026,󳋡,（薄荷）,（薄荷）
3027,󳋢,养育,养育
3028,󳋣,摆谈,摆谈
3029,󳋤,1、块；2、穗；3、块、穗（量词）；,"1. 块; 2. 穗; 3, 块, 穗(量词) ; "
3030,󳋥,（瓦片）,（瓦片）
3031,󳋦,旺盛,旺盛
3032,󳋧,生育,生育
3033,󳋨,熟,"cooked, ripe"
3034,󳋩,宰、杀（牛）,"宰, 杀 (cow, ox)"
3035,󳋪,度、°,"度, °"
3036,󳋫,（感觉）灵敏,(感觉) 灵敏
3037,󳋬,冲,冲
3038,󳋭,（蝌）蚪,(蝌) 蚪
3039,󳋮,1、（斜）砍；2、劈；,"1. (oblique, slanted) 砍; 2. 劈; "
3040,󳋯,规（则）,规 (则)
3041,󳋰,竖（直）,竖 (直)
3042,󳋱,次、回、趟（做一回（次）、走一趟）,"次, 回, 趟(做one回 (次) , 走one趟)"
3043,󳋲,舞（名词、动词）,"舞 (名词, 动词)"
3044,󳋳,修理,修理
3045,󳋴,睡、死睡,"睡, 死睡"
3046,󳋵,（一串串）,（one串串）
3047,󳋶,（重叠词缀）（浑浊）,(overlapping词缀)  (浑浊)
3048,󳋷,奉养、赡养,"奉养, 赡养"
3049,󳋸,（形容词缀）（光溜溜）,"(形容词缀)  (lightslip, slideslip, slide)"
3050,󳋹,含,含
3051,󳋺,（诱惑）,（诱惑）
3052,󳋻,（窄而长条的形状）,"（窄而长strip, item的形状）"
3053,󳋼,（大霍麻）,"（big, large霍hemp, numb）"
3054,󳋽,（摇摇摆摆）,（摇摇摆摆）
3055,󳋾,箱（子）,箱 (子)
3056,󳋿,（勾引）,（勾引）
3057,󳌀,触、碰,"触, 碰"
3058,󳌁,1、（大针地）缝；2、刺（杀）；,"1. (big, large针place, location) sew, stitch; 2. 刺(杀) ; "
3059,󳌂,（额）头,(额) 头
3060,󳌃,只有,只有
3061,󳌄,佩戴,佩戴
3062,󳌅,蓑（衣）,蓑 (衣)
3063,󳌆,（肮脏）,（肮脏）
3064,󳌇,1、应；2、间；,1. 应; 2. 间; 
3065,󳌈,（心灰意冷）,"（heart, mindash, gray意cold）"
3066,󳌉,（祈祷、祷告）,"（祈祷, pray）"
3067,󳌊,（词缀）（稀疏、稀拉）,"(词缀)  (稀疏, 稀拉)"
3068,󳌋,（昏沉沉）,（昏沉沉）
3069,󳌌,鼾（han）,鼾 (han)
3070,󳌍,饲养,饲养
3071,󳌎,擞（sǒu）,擞 (sǒu)
